celebrity_name,season,week,weekly_judge_total,estimated_fan_vote,vote_uncertainty,is_eliminated,placement
Amanda Kloots,30,10,349.5,6372016.689326376,-34360809.89422116,0,4
Jason Lewis,31,10,18.0,4357203.038266331,-36491747.75629339,1,16
Cheryl Ladd,31,10,66.0,4719809.996212959,-37550765.715844154,1,14
Selma Blair,31,10,156.0,4276259.406187877,-35966126.05434677,1,12
Joseph Baena,31,10,139.0,8580502.45471847,-34963389.619724095,1,11
Trevor Donovan,31,10,286.5,3166311.600540146,-38062324.4144165,1,6
Daniel Durant,31,10,293.5,4458862.088126913,-36581807.09901893,1,5
Wayne Brady,31,10,362.5,3372960.3376339525,-37492428.22758902,0,3
Sam Champion,31,10,96.0,8132189.782457188,-35334651.843817,1,13
Jessie James Decker,31,10,170.0,3232760.420812875,-37714944.76085593,1,10
Jordin Sparks,31,10,220.0,8423300.650369734,-36866569.03213588,1,9
Heidi D'Amelio,31,10,263.0,5797557.341875315,-35017962.68534338,1,8
Charli D'Amelio,31,10,379.0,8084930.422048241,-34979868.63840502,0,1
Teresa Giudice,31,10,43.0,5605115.637479246,-35522025.006815255,1,15
Vinny Guadagnino,31,10,215.5,6648160.767394319,-37718522.0378818,1,7
Shangela,31,10,345.5,4420732.101610765,-38848773.49761587,0,4
Gabby Windey,31,10,362.5,6822788.511258751,-37090903.813071676,0,2
Jamie Lynn Spears,32,11,31.0,2520067.1907253563,-36072954.57712395,1,13
Mira Sorvino,32,11,104.0,7362089.157670349,-36761758.146894716,1,10
Barry Williams,32,11,197.5,4290873.917510137,-35063136.718245104,1,7
Alyson Hannigan,32,11,281.0,4660033.147664174,-36805341.10428353,0,5
Xochitl Gomez,32,11,349.0,7242878.839049071,-35294039.60657905,0,1
Adrian Peterson,32,11,76.0,8202747.558130354,-34946839.86589252,1,11
Matt Walsh,32,11,12.0,3083185.533230424,-39900459.756691635,1,14
Tyson Beckford,32,11,50.0,6293793.104516536,-37412112.02545009,1,12
Jason Mraz,32,11,339.5,2219913.382434219,-38472889.86057631,0,2
Lele Pons,32,11,186.5,3356663.187641084,-36416311.579204775,1,8
Harry Jowsey,32,11,209.0,6751899.511462152,-36389806.49129954,1,6
Mauricio Umansky,32,11,126.0,8698281.331816688,-35564548.53111304,1,9
Charity Lawson,32,11,337.0,4753459.442850977,-36441029.73186634,0,4
Ariana Madix,32,11,339.5,4763610.299053326,-35429841.02138021,0,3
Tori Spelling,33,9,36.0,5774042.474471107,-36062538.763454035,1,12
Eric Roberts,33,9,53.0,5322633.338497758,-35662509.61680598,1,10
Reginald VelJohnson,33,9,52.0,550775.7257246375,-37427891.086814344,1,10
Chandler Kinney,33,9,261.5,5872209.015064359,-34468839.206670366,0,3
Dwight Howard ,33,9,178.0,4015771.4017796367,-36776670.35065651,1,6
Danny Amendola,33,9,241.0,6435592.397022724,-35478200.98311414,0,5
Stephen Nedoroscik,33,9,242.0,5958132.789865926,-36996514.6529218,0,4
Ilona Maher,33,9,232.0,7444411.023844063,-36539295.57244766,0,2
Anna Delvey,33,9,35.0,2111578.823608279,-36691843.18238704,1,12
Brooks Nader,33,9,100.5,3886115.765086934,-38109858.32872455,1,9
Phaedra Parks,33,9,124.0,4346714.766626835,-34194618.607536435,1,8
Jenn Tran,33,9,157.5,4016312.6025294363,-37221318.95664661,1,7
Joey Graziadei,33,9,258.0,8147058.697115213,-36819947.49265315,0,1
Corey Feldman,34,11,24.0,3044448.7679385543,-35931840.25520308,1,13
Danielle Fishel,34,11,210.0,6238395.85483928,-35998830.00983578,1,8
Elaine Hendrix,34,11,306.99980000000005,5766321.300239399,-35908343.82947656,0,5
Baron Davis,34,11,28.0,6478243.910063148,-35898218.21969771,1,13
Jordan Chiles,34,11,325.1666,4216311.244178861,-36402458.48295515,0,3
Andy Richter,34,11,204.0,8573915.920645535,-33848461.70961755,1,7
Robert Irwin,34,11,332.1666,2438646.387622088,-38102447.23161677,0,1
Hilaria Baldwin,34,11,80.0,6338178.314892769,-34772757.53568594,1,11
Lauren Jauregui,34,11,52.0,4886974.406024873,-38801529.67647696,1,12
Scott Hoying,34,11,129.0,6726227.735466197,-36305166.011067934,1,10
Alix Earle,34,11,331.5,3998635.1996523887,-37194612.47052422,0,2
Jen Affleck,34,11,171.0,4376744.5325142,-36909714.53590953,1,9
Whitney Leavitt,34,11,310.5,2371109.1383190155,-38295888.37850073,1,6
Dylan Efron,34,11,318.83320000000003,7991584.875895113,-35073100.19956835,0,4
