celebrity_name,celebrity_industry,celebrity_age_during_season,weekly_judge_total,estimated_fan_vote,judge_rank,fan_vote_rank
Veron Davis,Athlete,36,121.0,7445594.213059157,11.0,3.0
Johnny Weir,Athlete,36,250.5,5444183.655141488,5.0,7.0
Nev Schulman,Producer,35,289.9998,6535905.04668504,1.0,4.0
AJ McLean,Singer/Rapper,42,210.9998,1776480.12462686,7.0,14.0
Nelly,Singer/Rapper,45,252.5,3872003.0902210623,4.0,12.0
Kaitlyn Bristowe,TV Personality,35,286.0,1647544.5608253926,2.0,15.0
Carole Baskin,TV Personality,59,39.0,5359016.626489252,14.0,8.0
Monica Aldama,TV Personality,48,155.0,4104843.28715609,9.0,11.0
Jeannie Mai,TV Personality,41,153.0,8264911.534111887,10.0,2.0
Martin Kove,Actor/Actress,75,28.0,8475643.552283213,15.0,2.0
Brian Austin Green,Actor/Actress,48,92.0,8721555.708977282,13.0,1.0
Melora Hardin,Actor/Actress,54,298.5,3626554.288013518,5.0,13.0
Matt James,Athlete,29,94.5,7362154.912863493,12.0,3.0
"Mike ""The Miz"" Mizanin",Athlete,40,202.5,5450776.147258431,9.0,11.0
Suni Lee,Athlete,18,296.5,2221313.3026173264,6.0,15.0
Iman Shumpert,Athlete,31,311.0,7222827.398996144,3.0,4.0
Cody Rigsby,Fitness Instructor,34,310.5,5114818.392985821,4.0,12.0
Melanie C,Singer/Rapper,47,148.0,6422031.006810144,11.0,6.0
Jimmie Allen,Singer/Rapper,36,243.5,5587600.2180900425,8.0,10.0
Olivia Jade,Social Media Personality,21,261.0,6262087.933079839,7.0,8.0
JoJo Siwa,Social Media Personality,18,359.0,6432037.664383888,1.0,5.0
Christine Chiu,TV Personality,38,70.0,2868276.4211009294,14.0,14.0
Kenya Moore,TV Personality,50,168.5,5634970.217541009,10.0,9.0
Amanda Kloots,TV Personality,39,349.5,6372016.689326376,2.0,7.0
Jason Lewis,Actor/Actress,51,18.0,4357203.038266331,16.0,12.0
Cheryl Ladd,Actor/Actress,71,66.0,4719809.996212959,14.0,9.0
Selma Blair,Actor/Actress,50,156.0,4276259.406187877,11.0,13.0
Joseph Baena,Actor/Actress,24,139.0,8580502.45471847,12.0,1.0
Trevor Donovan,Actor/Actress,39,286.5,3166311.600540146,6.0,16.0
Daniel Durant,Actor/Actress,32,293.5,4458862.088126913,5.0,10.0
Wayne Brady,Comedian,50,362.5,3372960.3376339525,2.0,14.0
Sam Champion,News Anchor,61,96.0,8132189.782457188,13.0,3.0
Jessie James Decker,Singer/Rapper,34,170.0,3232760.420812875,10.0,15.0
Jordin Sparks,Singer/Rapper,32,220.0,8423300.650369734,8.0,2.0
Heidi D'Amelio,Social Media Personality,50,263.0,5797557.341875315,7.0,7.0
Charli D'Amelio,Social Media Personality,18,379.0,8084930.422048241,1.0,4.0
Teresa Giudice,TV Personality,50,43.0,5605115.637479246,15.0,8.0
Vinny Guadagnino,TV Personality,34,215.5,6648160.767394319,9.0,6.0
Shangela,TV Personality,40,345.5,4420732.101610765,4.0,11.0
Gabby Windey,TV Personality,31,362.5,6822788.511258751,2.0,5.0
Jamie Lynn Spears,Actor/Actress,32,31.0,2520067.1907253563,13.0,13.0
Mira Sorvino,Actor/Actress,55,104.0,7362089.157670349,10.0,3.0
Barry Williams,Actor/Actress,68,197.5,4290873.917510137,7.0,10.0
Alyson Hannigan,Actor/Actress,49,281.0,4660033.147664174,5.0,9.0
Xochitl Gomez,Actor/Actress,17,349.0,7242878.839049071,1.0,4.0
Adrian Peterson,Athlete,38,76.0,8202747.558130354,11.0,2.0
Matt Walsh,Comedian,58,12.0,3083185.533230424,14.0,12.0
Tyson Beckford,Model,52,50.0,6293793.104516536,12.0,6.0
Jason Mraz,Singer/Rapper,46,339.5,2219913.382434219,2.0,14.0
Lele Pons,Social Media Personality,27,186.5,3356663.187641084,8.0,11.0
Harry Jowsey,TV Personality,26,209.0,6751899.511462152,6.0,5.0
Mauricio Umansky,TV Personality,53,126.0,8698281.331816688,9.0,1.0
Charity Lawson,TV Personality,27,337.0,4753459.442850977,4.0,8.0
Ariana Madix,TV Personality,38,339.5,4763610.299053326,2.0,7.0
Tori Spelling,Actor/Actress,51,36.0,5774042.474471107,12.0,6.0
Eric Roberts,Actor/Actress,68,53.0,5322633.338497758,10.0,7.0
Reginald VelJohnson,Actor/Actress,74,52.0,550775.7257246375,11.0,13.0
Chandler Kinney,Actor/Actress,24,261.5,5872209.015064359,1.0,5.0
Dwight Howard ,Athlete,38,178.0,4015771.4017796367,6.0,10.0
Danny Amendola,Athlete,39,241.0,6435592.397022724,4.0,3.0
Stephen Nedoroscik,Athlete,26,242.0,5958132.789865926,3.0,4.0
Ilona Maher,Athlete,28,232.0,7444411.023844063,5.0,2.0
Anna Delvey,Con artist,33,35.0,2111578.823608279,13.0,12.0
Brooks Nader,Model,27,100.5,3886115.765086934,9.0,11.0
Phaedra Parks,TV Personality,51,124.0,4346714.766626835,8.0,8.0
Jenn Tran,TV Personality,26,157.5,4016312.602529436,7.0,9.0
Joey Graziadei,TV Personality,29,258.0,8147058.697115213,2.0,1.0
Corey Feldman,Actor/Actress,54,24.0,3044448.7679385543,14.0,12.0
Danielle Fishel,Actor/Actress,44,210.0,6238395.85483928,7.0,6.0
Elaine Hendrix,Actor/Actress,55,306.99980000000005,5766321.300239399,6.0,7.0
Baron Davis,Athlete,46,28.0,6478243.910063148,13.0,4.0
Jordan Chiles,Athlete,24,325.1666,4216311.244178861,3.0,10.0
Andy Richter,Comedian,59,204.0,8573915.920645535,8.0,1.0
Robert Irwin,Conservationist,22,332.1666,2438646.387622088,1.0,13.0
Hilaria Baldwin,Entrepreneur,41,80.0,6338178.314892769,11.0,5.0
Lauren Jauregui,Singer/Rapper,29,52.0,4886974.406024873,12.0,8.0
Scott Hoying,Singer/Rapper,34,129.0,6726227.735466197,10.0,3.0
Alix Earle,Social media personality,24,331.5,3998635.1996523887,2.0,11.0
Jen Affleck,TV Personality,26,171.0,4376744.5325142,9.0,9.0
Whitney Leavitt,TV Personality,32,310.5,2371109.1383190155,5.0,14.0
Dylan Efron,TV Personality,33,318.83320000000003,7991584.875895113,4.0,2.0
